"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"Punta Alta",-38.8781733532983,-62.0794804613607,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",86,851
"CABA",-34.6075,-58.4371,"MORON",-34.6474573245916,-58.6218615494078,"Anchored organ",84,17
"Posadas",-27.3664259799962,-55.8939802751923,"POSADAS",-27.3664259799962,-55.8939802751923,"Anchored organ",84,0
"CABA",-34.6075,-58.4371,"MAIPU",-32.9846197818192,-68.7882090175496,"Anchored organ",83,973
"CABA",-34.6075,-58.4371,"BERAZATEGUI",-34.7630163121184,-58.2121691523322,"Programmatic organ",82,27
"CABA",-34.6075,-58.4371,"CORRIENTES",-27.4633450136008,-58.8394728460849,"Anchored organ",81,795
"CABA",-34.6075,-58.4371,"VILLA LYNCH",-34.5921434513227,-58.5240586094847,"Programmatic organ",81,8
"Mar del Plata",-38.0064494189987,-57.5438377776641,"CABA",-34.6075,-58.4371,"Anchored organ",81,386
"Santa Fe",-31.6574749533861,-60.7104784410123,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",81,144
"CABA",-34.6075,-58.4371,"LOS POLVORINES",-34.5020886294655,-58.6949943511423,"Anchored organ",80,26
"CABA",-34.6075,-58.4371,"VILLA BOSCH",-34.5868156329333,-58.5738062079452,"Programmatic organ",80,13
"Mendoza",-32.8897325533642,-68.8444442314254,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",80,766
"CABA",-34.6075,-58.4371,"EZEIZA",-34.8543939582115,-58.524757807358,"Anchored organ",78,29
"Comodoro Rivadavia",-45.8625644045819,-67.494000786158,"COMODORO RIVADAVIA",-45.8625644045819,-67.494000786158,"Anchored organ",78,0
"San Luis",-33.3020864829706,-66.336854573535,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",78,743
"CABA",-34.6075,-58.4371,"TANDIL",-37.3286954825526,-59.1368975569569,"Programmatic organ",77,309
"Ezeiza",-34.8543939582115,-58.524757807358,"CABA",-34.6075,-58.4371,"Programmatic organ",77,29
"El Palomar",-34.6108556165017,-58.5956810077115,"BELLA VISTA",-34.5682733387092,-58.6820583867252,"Anchored organ",76,9
"CABA",-34.6075,-58.4371,"Ciudad Autonoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",75,0
"CABA",-34.6075,-58.4371,"AVELLANEDA",-34.6638295089907,-58.3627373569237,"Programmatic organ",74,9
"CABA",-34.6075,-58.4371,"RECONQUISTA",-29.1445173299237,-59.6435478986104,"Anchored organ",74,618
"CABA",-34.6075,-58.4371,"VILLA BOSCH",-34.5868156329333,-58.5738062079452,"Anchored organ",74,13
"Posadas",-27.3664259799962,-55.8939802751923,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",74,920
"Santo Tomé",-28.5498158069218,-56.0348110765932,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",74,846
"Ezeiza",-34.8543939582115,-58.524757807358,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Programmatic organ",73,544
"Salta",-24.7831983811283,-65.4102509654276,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",73,978
"CABA",-34.6075,-58.4371,"FLORIDA",-34.5320107502339,-58.4928251811481,"Programmatic organ",72,10
"CABA",-34.6075,-58.4371,"MUÑIZ",-34.5524946303365,-58.704793707995,"Programmatic organ",71,25
"CABA",-34.6075,-58.4371,"VICENTE LOPEZ",-34.5257404584867,-58.4741498273926,"Programmatic organ",71,10
"Paraná",-31.7401601621031,-60.5274260494443,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",71,135
"CABA",-34.6075,-58.4371,"BECCAR",-34.4601958059158,-58.5313611443379,"Programmatic organ",70,19
"CABA",-34.6075,-58.4371,"Córdoba",-31.4150461523809,-64.1791140755104,"Anchored organ",70,642
"CABA",-34.6075,-58.4371,"SANTA FE",-31.6574749533861,-60.7104784410123,"Anchored organ",70,390
"General Rodríguez",-34.6082064832342,-58.9510798915332,"LUJAN",-34.5668483579023,-59.1145118021941,"Programmatic organ",70,16
"Mendoza",-32.8897325533642,-68.8444442314254,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",70,878
"Punta Alta",-38.8781733532983,-62.0794804613607,"CORONEL PRINGLES",-37.9856677754422,-61.3503974314576,"Anchored organ",70,118
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",69,622
"Mendoza",-32.8897325533642,-68.8444442314254,"CABA",-34.6075,-58.4371,"Anchored organ",69,981
"Posadas",-27.3664259799962,-55.8939802751923,"APOSTOLES",-27.9141359337054,-55.7548578406666,"Anchored organ",69,62
"CABA",-34.6075,-58.4371,"CITY BELL",-34.8674740179381,-58.0474227947356,"Anchored organ",68,46
"CABA",-34.6075,-58.4371,"CORONDA",-31.9744848131131,-60.9160919168416,"Programmatic organ",68,373
"CABA",-34.6075,-58.4371,"MENDOZA",-32.8897325533642,-68.8444442314254,"Programmatic organ",67,981
"CABA",-34.6075,-58.4371,"MUÑIZ",-34.5524946303365,-58.704793707995,"Anchored organ",67,25
"Comodoro Rivadavia",-45.8625644045819,-67.494000786158,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",67,1457
"Córdoba",-31.4150461523809,-64.1791140755104,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",67,639
"Mar del Plata",-38.0064494189987,-57.5438377776641,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",67,951
"San Juan",-31.5372590360945,-68.5250172058885,"SAN JUAN",-31.5372590360945,-68.5250172058885,"Anchored organ",67,0
"Santa Fe",-31.6574749533861,-60.7104784410123,"SANTA FE",-31.6574749533861,-60.7104784410123,"Anchored organ",67,0
"CABA",-34.6075,-58.4371,"MONTE GRANDE",-34.8163557987773,-58.4682642320418,"Programmatic organ",66,23
"CABA",-34.6075,-58.4371,"SAN FERNANDO",-34.4436592867769,-58.5586455411774,"Programmatic organ",66,21
"CABA",-34.6075,-58.4371,"TIGRE",-34.4248130997973,-58.5755281971763,"Anchored organ",66,24
"CABA",-34.6075,-58.4371,"LANUS OESTE",-34.7037709376997,-58.4005603089343,"Programmatic organ",65,11
"Paso de los Libres",-29.7137148107283,-57.085405398509,"PASO DE LOS LIBRES",-29.7137148107283,-57.085405398509,"Anchored organ",65,0
"Río Gallegos",-51.6234632663739,-69.2158645331237,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",65,2285
"CABA",-34.6075,-58.4371,"CITY BELL",-34.8674740179381,-58.0474227947356,"Programmatic organ",64,46
"Córdoba",-31.4150461523809,-64.1791140755104,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",64,831
"Río Grande",-53.7863260891398,-67.6963281355519,"RIO GRANDE",-53.7863260891398,-67.6963281355519,"Anchored organ",64,0
"CABA",-34.6075,-58.4371,"ADROGUE",-34.7973726678595,-58.3884529337359,"Programmatic organ",63,22
"CABA",-34.6075,-58.4371,"MANUEL B. GONNET",-34.8818546802863,-58.0103208206183,"Programmatic organ",63,50
"Mar del Plata",-38.0064494189987,-57.5438377776641,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",63,420
"CABA",-34.6075,-58.4371,"CORONDA",-31.9744848131131,-60.9160919168416,"Anchored organ",62,373
"Quilmes",-34.7200676236621,-58.254346982141,"CARLOS TOMAS SOURIGUES",-34.8062523505149,-58.2153884798708,"Anchored organ",62,10
"Tandil",-37.3286954825526,-59.1368975569569,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",62,804
"CABA",-34.6075,-58.4371,"LANUS ESTE",-34.7141603772546,-58.3743055982995,"Anchored organ",61,13
"CABA",-34.6075,-58.4371,"SAENZ PEÑA",-34.6001485700585,-58.5276332441297,"Programmatic organ",61,8
"CABA",-34.6075,-58.4371,"viedma",-40.8083677299022,-62.9949287297467,"Anchored organ",61,797
"El Palomar",-34.6108556165017,-58.5956810077115,"LOS POLVORINES",-34.5020886294655,-58.6949943511423,"Anchored organ",61,15
"Santiago del Estero",-27.787684474002,-64.259668066644,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",61,403
"CABA",-34.6075,-58.4371,"BURZACO",-34.8281717078487,-58.391033876775,"Anchored organ",60,25
"CABA",-34.6075,-58.4371,"MUNRO",-34.5298047274022,-58.525182801606,"Anchored organ",60,12
"Mendoza",-32.8897325533642,-68.8444442314254,"GUAYMALLEN",-32.9000520819732,-68.7876776306296,"Programmatic organ",60,5
"CABA",-34.6075,-58.4371,"COMODORO RIVADAVIA",-45.8625644045819,-67.494000786158,"Anchored organ",59,1467
"CABA",-34.6075,-58.4371,"Quilmes",-34.7200676236621,-58.254346982141,"Anchored organ",59,21
"CABA",-34.6075,-58.4371,"VALENTIN ALSINA",-34.6714140127777,-58.4090486458359,"Anchored organ",59,8
"Salta",-24.7831983811283,-65.4102509654276,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",59,1020
"Ushuaia",-54.8074039816905,-68.3037571781958,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Anchored organ",59,1832
"Salta",-24.7831983811283,-65.4102509654276,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",58,1280
"CABA",-34.6075,-58.4371,"HURLINGHAM",-34.5898383931687,-58.6374166101562,"Programmatic organ",57,18
"CABA",-34.6075,-58.4371,"TIGRE",-34.4248130997973,-58.5755281971763,"Programmatic organ",57,24
"Mendoza",-32.8897325533642,-68.8444442314254,"MAIPU",-32.9846197818192,-68.7882090175496,"Anchored organ",57,12
"Río Cuarto",-33.1238369342208,-64.3490032179798,"RIO CUARTO",-33.1238369342208,-64.3490032179798,"Anchored organ",57,0
"CABA",-34.6075,-58.4371,"BANFIELD",-34.7447138351125,-58.3929263130465,"Programmatic organ",56,16
"CABA",-34.6075,-58.4371,"GENERAL SAN MARTIN",-34.5779100956477,-58.5386564736863,"Anchored organ",56,10
"CABA",-34.6075,-58.4371,"MORON",-34.6474573245916,-58.6218615494078,"Programmatic organ",56,17
"CABA",-34.6075,-58.4371,"VICENTE LOPEZ",-34.5257404584867,-58.4741498273926,"Anchored organ",56,10
"Córdoba",-31.4150461523809,-64.1791140755104,"RIO CUARTO",-33.1238369342208,-64.3490032179798,"Anchored organ",56,191
"CABA",-34.6075,-58.4371,"MERLO",-34.6669700024931,-58.7279503131722,"Anchored organ",55,27
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"VILLA BALLESTER",-34.5480834920372,-58.5570844833764,"Anchored organ",54,4
"CABA",-34.6075,-58.4371,"MERLO",-34.6669700024931,-58.7279503131722,"Programmatic organ",54,27
"CABA",-34.6075,-58.4371,"OLIVOS",-34.5093203722724,-58.4813961688058,"Anchored organ",54,12
"CABA",-34.6075,-58.4371,"RANELAGH",-34.7877872381146,-58.203185368401,"Anchored organ",54,29
"CABA",-34.6075,-58.4371,"VILLA ADELINA",-34.5188556851314,-58.5473555040385,"Programmatic organ",54,14
"La Rioja",-29.412884219358,-66.8558279775847,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",54,340
"Mendoza",-32.8897325533642,-68.8444442314254,"GODOY CRUZ",-32.925334570321,-68.8442814633876,"Programmatic organ",54,4
"CABA",-34.6075,-58.4371,"EZEIZA",-34.8543939582115,-58.524757807358,"Programmatic organ",53,29
