"provincia","anio","planta","habitantes","empleo_x1000hab"
"La Pampa",2003,17228.4333333333,313810,54.9008423355959
"La Rioja",2003,23617.4,307391,76.8317875279367
"Mendoza",2003,61280.5333333333,1640635,37.351716459379
"Misiones",2003,36062,998667,36.1101348097013
"Neuquén",2003,36909,504075,73.2212468382681
"Río Negro",2003,33298,580533,57.3576351387432
"Salta",2003,38632.8666666667,1122260,34.4241678992984
"San Juan",2003,27391.9333333333,647156,42.3266311883585
"San Luis",2003,18693,390918,47.8182125151566
"Santa Cruz",2003,17365.3,205953,84.3168101460042
"Santa Fe",2003,98323,3135972,31.3532773889563
"Santiago del Estero",2003,35392,823817,42.9609974059773
"Tucumán",2003,49065,1387220,35.3692997505803
"Tierra del Fuego",2003,8408,108210,77.700767027077
"CABA",2004,111721,3011694,37.0957341615715
"Buenos Aires",2004,438648.833333333,14530996,30.187114037698
"Catamarca",2004,29025,357804,81.1198309689103
"Córdoba",2004,89782,3226504,27.8264028186545
"Corrientes",2004,40633,970173,41.8822210059443
"Chaco",2004,44689,1016209,43.9761899373062
"Chubut",2004,26027,440381,59.101096550487
"Entre Ríos",2004,58502,1206177,48.5020026082407
"Formosa",2004,33374,510353,65.3939528130529
"Jujuy",2004,35661,643571,55.4111356788917
"La Pampa",2004,17228.4333333333,317697,54.2291344687968
"La Rioja",2004,24102.4,313918,76.7792863104378
"Mendoza",2004,64680.3333333333,1657801,39.0157403291066
"Misiones",2004,37336,1013983,36.8211301372903
"Neuquén",2004,36909,512698,71.989748350881
"Río Negro",2004,35413,583953,60.643579192161
"Salta",2004,40896.8666666667,1141632,35.8231607616698
"San Juan",2004,27391.9333333333,656727,41.7097718432977
"San Luis",2004,18693,400012,46.731098067058
"Santa Cruz",2004,17365.3,209859,82.7474637732954
"Santa Fe",2004,99890,3156308,31.6477352653797
"Santiago del Estero",2004,36386,831597,43.7543665982441
"Tucumán",2004,54462,1404278,38.7829190516408
"Tierra del Fuego",2004,8398,111726,75.1660311834309
"CABA",2005,123960,3018102,41.0721705230638
"Buenos Aires",2005,468474,14654379,31.9681918967702
"Catamarca",2005,26849,365323,73.4938670710577
"Córdoba",2005,95723,3254279,29.4145031818108
"Corrientes",2005,44386,980813,45.2542941416967
"Chaco",2005,46616,1024934,45.4819529842897
"Chubut",2005,27450,445458,61.621971094918
"Entre Ríos",2005,60418,1217212,49.6363821585722
"Formosa",2005,35963,517506,69.4929140918173
"Jujuy",2005,37213,652577,57.0246882743339
"La Rioja",2005,22695,320602,70.7887037510683
"Mendoza",2005,64045,1675309,38.2287685435941
"Misiones",2005,40045,1029645,38.8920453165897
"Neuquén",2005,40914,521439,78.4636362067279
"Río Negro",2005,36740,587430,62.5436222188176
"Salta",2005,41043,1161484,35.336689958708
"San Juan",2005,29655,666446,44.4972285826609
"Santa Fe",2005,101366,3177557,31.9006079198579
"Santiago del Estero",2005,39253,839767,46.742727447018
"Tucumán",2005,63214,1421824,44.4597924918977
"Tierra del Fuego",2005,11637,115286,100.940270284336
"CABA",2006,129067,3025772,42.655890794151
"Buenos Aires",2006,492000,14784007,33.2792050220214
"Catamarca",2006,27218,372937,72.9828362431188
"Córdoba",2006,94199,3282680,28.6957607808254
"Corrientes",2006,45940,991597,46.3293051511854
"Chaco",2006,46114,1033865,44.6035023915115
"Chubut",2006,27808,450549,61.7202568422081
"Entre Ríos",2006,64136,1229373,52.1696832450363
"Formosa",2006,37270,524805,71.0168538790598
"Jujuy",2006,38515,661667,58.2090386856228
"La Rioja",2006,25427,327384,77.6672042616621
"Mendoza",2006,67618,1693261,39.9335955886305
"Misiones",2006,41989,1045534,40.1603391185748
"Neuquén",2006,45410,530219,85.643856595105
