"provincia","estrato","rv"
"Córdoba","core",0.2724
"Córdoba","core",0.267
"Córdoba","core",0.2058
"Córdoba","core",0.4552
"Córdoba","core",0.2754
"Córdoba","core",0.5329
"Córdoba","core",0.3825
"Córdoba","core",0.3824
"Córdoba","core",0.513
"Córdoba","core",0.3053
"Córdoba","core",0.4129
"Córdoba","core",0.3906
"Córdoba","core",0.5091
"Córdoba","core",0.5235
"Córdoba","core",0.4172
"Córdoba","core",0.28
"Córdoba","core",0.6213
"Córdoba","core",0.3488
"Córdoba","core",0.5308
"Córdoba","core",0.2951
"Córdoba","core",0.1834
"Córdoba","core",0.4777
"Córdoba","core",0.2428
"Córdoba","core",0.3179
"Córdoba","core",0.5115
"Córdoba","core",0.5037
"Córdoba","core",0.3909
"Córdoba","core",0.6114
"Córdoba","core",0.5198
"Córdoba","core",0.2595
"Córdoba","core",0.177
"Córdoba","core",0.3732
"Córdoba","core",0.2641
"Córdoba","core",0.2385
"Córdoba","core",0.2741
"Córdoba","core",0.6188
"Córdoba","core",0.2897
"Córdoba","core",0.2395
"Córdoba","core",0.7085
"Córdoba","core",0.3073
"Córdoba","core",0.4523
"Córdoba","core",0.4803
"Córdoba","core",0.4709
"Córdoba","core",0.3226
"Córdoba","core",0.4972
"Córdoba","core",0.2744
"Córdoba","core",0.2793
"Córdoba","core",0.2219
"Córdoba","core",0.6272
"Córdoba","core",0.326
"Córdoba","core",0.3168
"Córdoba","core",0.3911
"Córdoba","core",0.3348
"Córdoba","core",0.3707
"Córdoba","core",0.2794
"Córdoba","core",0.4465
"Córdoba","core",0.2623
"Córdoba","core",0.3831
"Córdoba","core",0.3286
"Córdoba","core",0.6199
"Córdoba","core",0.5337
"Córdoba","core",0.304
"Córdoba","core",0.5065
"Córdoba","core",0.3539
"Córdoba","core",0.4952
"Córdoba","core",0.3935
"Córdoba","core",0.3497
"Córdoba","core",0.4385
"Córdoba","core",0.5807
"Córdoba","core",0.417
"Córdoba","core",0.6192
"Córdoba","core",0.4612
"Córdoba","core",0.2536
"Córdoba","core",0.3115
"Córdoba","core",0.2713
"Córdoba","core",0.212
"Córdoba","core",0.4362
"Córdoba","core",0.515
"Córdoba","core",0.4335
"Córdoba","core",0.4567
"Córdoba","core",0.5677
"Córdoba","core",0.272
"Córdoba","core",0.3345
"Córdoba","core",0.4898
"Córdoba","core",0.5467
"Córdoba","core",0.4071
"Córdoba","core",0.3278
"Córdoba","core",0.3955
"Córdoba","core",0.6521
"Córdoba","core",0.2214
"Córdoba","core",0.238
"Córdoba","core",0.194
"Córdoba","core",0.5116
"Córdoba","core",0.5142
"Córdoba","core",0.2599
"Córdoba","core",0.5895
"Córdoba","core",0.3816
"Córdoba","core",0.5725
"Córdoba","core",0.2821
"Córdoba","core",0.3151
"Córdoba","core",0.4708
"Córdoba","core",0.4511
